Vị trí công việc,Nơi làm việc,Mức lương,Thời gian đăng,Kỹ năng yêu cầu,Đường link chi tiết
Chuyên Gia Phân tích dữ liệu và xây dựng mô hình phát hiện gian lận - Khối Quản trị rủi ro (2026TD453499) MBBank Thoả thuận · Hà Nội Expert Data Analyst 13 ngày trước,Hà Nội,Thỏa thuận,13 ngày trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/683927
Junior DataOps Engineer Profectus Vietnam Thoả thuận · Việt Nam Junior Data Engineer 13 ngày trước,Toàn quốc / Chưa rõ,Thỏa thuận,13 ngày trước,"Python, SQL, Excel, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/683925
AI Data Engineer Renova Cloud Thoả thuận · TP.Hồ Chí Minh Data Engineer 13 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,13 ngày trước,"Python, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/683924
Data Analyst TELUS Digital Thoả thuận · Hà Nội Data Analyst 13 ngày trước,Hà Nội,Thỏa thuận,13 ngày trước,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683923
Business Analyst (Hanoi) VMO Thoả thuận · Hà Nội Business Analyst 12 ngày trước,Hà Nội,Thỏa thuận,12 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/683922
"Senior Data Engineer, Lighthouse ADA Thoả thuận · TP.Hồ Chí Minh Senior Data Engineer 12 ngày trước",TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683918
Senior Pricing Analyst (Data Analysis & Pricing Strategy) PNJ Group Thoả thuận · TP.Hồ Chí Minh Senior Data Analyst 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/683915
Part-time & Home-based Data Annotator (HR-Tech Platform) - Vietnam PT Talenta Eksekutif Asia Thoả thuận · TP.Hồ Chí Minh Data Analyst 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683912
Business Analyst (Phần mềm Kế toán) Sapo Technology JSC Thoả thuận · Hà Nội Business Analyst 13 ngày trước,Hà Nội,Thỏa thuận,13 ngày trước,"SQL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683909
AI Engineer FiinGroup Thoả thuận · Hà Nội AI Engineer 13 ngày trước,Hà Nội,Thỏa thuận,13 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/683906
Data & AI Business Analyst RIEKER GRUPPE Thoả thuận · Việt Nam Business Analyst 13 ngày trước,Toàn quốc / Chưa rõ,Thỏa thuận,13 ngày trước,"Python, SQL, Power BI, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/683902
