link,kynangchitiet
https://jobs.xomdata.com/jobs/685141,Docker
https://jobs.xomdata.com/jobs/685141,Machine Learning
https://jobs.xomdata.com/jobs/685141,R
https://jobs.xomdata.com/jobs/685140,Machine Learning
https://jobs.xomdata.com/jobs/685140,R
https://jobs.xomdata.com/jobs/685138,Python
https://jobs.xomdata.com/jobs/685138,SQL
https://jobs.xomdata.com/jobs/685138,Spark
https://jobs.xomdata.com/jobs/685138,Machine Learning
https://jobs.xomdata.com/jobs/685138,R
https://jobs.xomdata.com/jobs/685138,Git
https://jobs.xomdata.com/jobs/685137,SQL
https://jobs.xomdata.com/jobs/685137,Power BI
https://jobs.xomdata.com/jobs/685137,Excel
https://jobs.xomdata.com/jobs/685137,AWS
https://jobs.xomdata.com/jobs/685137,Azure
https://jobs.xomdata.com/jobs/685137,Machine Learning
https://jobs.xomdata.com/jobs/685137,R
https://jobs.xomdata.com/jobs/685137,Git
https://jobs.xomdata.com/jobs/685135,Python
https://jobs.xomdata.com/jobs/685135,Machine Learning
https://jobs.xomdata.com/jobs/685135,R
https://jobs.xomdata.com/jobs/685134,Python
https://jobs.xomdata.com/jobs/685134,SQL
https://jobs.xomdata.com/jobs/685134,Machine Learning
https://jobs.xomdata.com/jobs/685134,R
https://jobs.xomdata.com/jobs/685132,Python
https://jobs.xomdata.com/jobs/685132,SQL
https://jobs.xomdata.com/jobs/685132,Tableau
https://jobs.xomdata.com/jobs/685132,Spark
https://jobs.xomdata.com/jobs/685132,AWS
https://jobs.xomdata.com/jobs/685132,Azure
https://jobs.xomdata.com/jobs/685132,ETL
https://jobs.xomdata.com/jobs/685132,Machine Learning
https://jobs.xomdata.com/jobs/685132,R
https://jobs.xomdata.com/jobs/685130,Python
https://jobs.xomdata.com/jobs/685130,Machine Learning
https://jobs.xomdata.com/jobs/685130,R
https://jobs.xomdata.com/jobs/685128,Python
https://jobs.xomdata.com/jobs/685128,SQL
https://jobs.xomdata.com/jobs/685128,Tableau
https://jobs.xomdata.com/jobs/685128,Spark
https://jobs.xomdata.com/jobs/685128,AWS
https://jobs.xomdata.com/jobs/685128,Azure
https://jobs.xomdata.com/jobs/685128,ETL
https://jobs.xomdata.com/jobs/685128,Machine Learning
https://jobs.xomdata.com/jobs/685128,R
https://jobs.xomdata.com/jobs/685129,Python
https://jobs.xomdata.com/jobs/685129,SQL
https://jobs.xomdata.com/jobs/685129,Pandas
https://jobs.xomdata.com/jobs/685129,Docker
https://jobs.xomdata.com/jobs/685129,Machine Learning
https://jobs.xomdata.com/jobs/685129,R
https://jobs.xomdata.com/jobs/685129,Git
https://jobs.xomdata.com/jobs/685127,Machine Learning
https://jobs.xomdata.com/jobs/685127,R
https://jobs.xomdata.com/jobs/685126,Python
https://jobs.xomdata.com/jobs/685126,SQL
https://jobs.xomdata.com/jobs/685126,Machine Learning
https://jobs.xomdata.com/jobs/685126,R
https://jobs.xomdata.com/jobs/685124,SQL
https://jobs.xomdata.com/jobs/685124,Tableau
https://jobs.xomdata.com/jobs/685124,Spark
https://jobs.xomdata.com/jobs/685124,Machine Learning
https://jobs.xomdata.com/jobs/685124,R
https://jobs.xomdata.com/jobs/685123,Python
https://jobs.xomdata.com/jobs/685123,SQL
https://jobs.xomdata.com/jobs/685123,Power BI
https://jobs.xomdata.com/jobs/685123,Tableau
https://jobs.xomdata.com/jobs/685123,Spark
https://jobs.xomdata.com/jobs/685123,Machine Learning
https://jobs.xomdata.com/jobs/685123,R
https://jobs.xomdata.com/jobs/685121,Python
https://jobs.xomdata.com/jobs/685121,Excel
https://jobs.xomdata.com/jobs/685121,AWS
https://jobs.xomdata.com/jobs/685121,Azure
https://jobs.xomdata.com/jobs/685121,Machine Learning
https://jobs.xomdata.com/jobs/685121,R
https://jobs.xomdata.com/jobs/685118,Power BI
https://jobs.xomdata.com/jobs/685118,Tableau
https://jobs.xomdata.com/jobs/685118,Excel
https://jobs.xomdata.com/jobs/685118,Machine Learning
https://jobs.xomdata.com/jobs/685118,R
https://jobs.xomdata.com/jobs/685117,Power BI
https://jobs.xomdata.com/jobs/685117,Excel
https://jobs.xomdata.com/jobs/685117,Machine Learning
https://jobs.xomdata.com/jobs/685117,R
https://jobs.xomdata.com/jobs/685117,Git
https://jobs.xomdata.com/jobs/685113,Python
https://jobs.xomdata.com/jobs/685113,Excel
https://jobs.xomdata.com/jobs/685113,Machine Learning
https://jobs.xomdata.com/jobs/685113,R
https://jobs.xomdata.com/jobs/684707,Python
https://jobs.xomdata.com/jobs/684707,SQL
https://jobs.xomdata.com/jobs/684707,Excel
https://jobs.xomdata.com/jobs/684707,Machine Learning
https://jobs.xomdata.com/jobs/684707,R
https://jobs.xomdata.com/jobs/684409,Python
https://jobs.xomdata.com/jobs/684409,AWS
https://jobs.xomdata.com/jobs/684409,Docker
https://jobs.xomdata.com/jobs/684409,Machine Learning
https://jobs.xomdata.com/jobs/684409,R
https://jobs.xomdata.com/jobs/684281,Python
https://jobs.xomdata.com/jobs/684281,Machine Learning
https://jobs.xomdata.com/jobs/684281,R
